maintenance_id,vehicle_id,service_date,odometer_km,system,detected_issue,probable_cause,repair_action,component,manual_reference,maintenance_type,downtime_hours,status
MNT-0014,ISZ-005,2026-06-19,95933,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,1.7,Completed
MNT-0015,ISZ-006,2026-08-13,106802,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,1.4,Completed
MNT-0016,ISZ-006,2026-06-20,97544,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,2.8,Completed
MNT-0017,ISZ-006,2026-05-01,88677,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,3.2,Completed
MNT-0018,ISZ-006,2026-08-15,106492,Lubrication,Low oil pressure,"Insufficient oil, oil contamination, filter restriction or oil-pump issue",Check oil level; inspect oil/filter; verify pressure with hydraulic gauge,Oil filter / oil pump / oil pressure switch,Engine Lubrication 6G-4,Corrective,3.9,Completed
MNT-0019,ISZ-006,2026-07-04,101156,Lubrication,Oil contamination,Fuel or water contamination suspected,Investigate contamination source and replace oil as required,Engine oil,Engine Lubrication 6G-4,Corrective,3.2,Completed
MNT-0020,ISZ-007,2026-08-15,111764,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,3.0,Completed
MNT-0021,ISZ-007,2026-06-21,102127,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,2.7,Completed
MNT-0022,ISZ-008,2026-08-19,115888,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,3.4,Completed
MNT-0023,ISZ-008,2026-06-22,107091,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,2.0,Completed
MNT-0024,ISZ-008,2026-04-30,97581,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,3.0,Completed
MNT-0025,ISZ-009,2026-08-18,120186,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,3.0,Completed
MNT-0026,ISZ-009,2026-06-23,111236,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,4.0,Completed
MNT-0027,ISZ-009,2026-08-07,120013,Electrical,Insufficient charging,"Poor connection, generator fault, loose drive belt or battery fault",Inspect wiring/connections; generator; drive belt; battery,Generator / V-belt / battery,Engine Electronic Components 6D-27; Engine Mechanical 6A-30,Corrective,3.6,Completed
MNT-0028,ISZ-009,2026-07-03,114750,Electrical,No-charge complaint,"Broken wire, short circuit, poor connection or generator internal fault",Repair wiring/connection or inspect generator,Generator / charging circuit,Engine Mechanical 6A-20; Engine Electronic Components 6D-26,Corrective,4.1,Completed
MNT-0029,ISZ-010,2026-08-21,123133,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,3.3,Completed
MNT-0030,ISZ-010,2026-06-29,114869,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,1.5,Completed
MNT-0031,ISZ-010,2026-04-28,105851,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,2.5,Completed
MNT-0032,ISZ-011,2026-08-20,125412,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.5,Completed
MNT-0033,ISZ-011,2026-06-26,116827,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,2.7,Completed
MNT-0034,ISZ-012,2026-08-23,131932,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,3.2,Completed
MNT-0035,ISZ-012,2026-06-25,122467,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,1.7,Completed
MNT-0036,ISZ-012,2026-05-06,113675,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,2.8,Completed
MNT-0037,ISZ-012,2026-08-08,131544,Fuel,Fuel rail pressure abnormal / poor acceleration,"Air in fuel, blocked filter/line, feed pump or injector issue","Check fuel filter, fuel line restriction, air/water contamination, feed pump and injectors",Fuel filter / feed pump / injector / common rail,Engine Mechanical 6A-15; Engine Control System 6E,Corrective,3.7,Completed
MNT-0038,ISZ-012,2026-07-06,126471,Fuel,No increase in engine speed,Fuel delivery restriction or engine-control-system fault,"Inspect fuel suction line, filter, feed pump and engine control system",Fuel system,Engine Mechanical 6A-15,Corrective,3.6,Completed
MNT-0039,ISZ-013,2026-08-20,135862,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,1.8,Completed
MNT-0040,ISZ-013,2026-06-25,126764,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,4.0,Completed
MNT-0041,ISZ-014,2026-08-25,139135,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,3.5,Completed
MNT-0042,ISZ-014,2026-06-20,130256,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,1.8,Completed
MNT-0043,ISZ-014,2026-04-28,121347,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,2.2,Completed
MNT-0044,ISZ-015,2026-08-18,142308,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,1.4,Completed
MNT-0045,ISZ-015,2026-06-30,132960,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.2,Completed
MNT-0046,ISZ-015,2026-08-12,142471,Engine Control,Unstable engine speed at idle,Fuel filter/injector/fuel contamination or engine-control fault,"Check fuel filter, injector, water in fuel and engine control system",Injector / fuel filter / ECM-related system,Engine Mechanical 6A-19,Corrective,8.3,Completed
MNT-0047,ISZ-015,2026-07-02,137321,Engine Control,Idle speed outside warmed target,Idle control or sensor-related issue,Confirm warmed idle and diagnose engine control system if unstable,Engine control system,Engine Control System functional check,Corrective,2.7,Completed
MNT-0048,ISZ-016,2026-08-19,146578,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,3.8,Completed
MNT-0049,ISZ-016,2026-06-28,137817,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,2.2,Completed
MNT-0050,ISZ-016,2026-05-05,128246,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.2,Completed
MNT-0051,ISZ-017,2026-08-20,149942,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,1.4,Completed
MNT-0052,ISZ-017,2026-06-21,140991,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,1.7,Completed
MNT-0053,ISZ-018,2026-08-19,154629,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,1.1,Completed
MNT-0054,ISZ-018,2026-06-29,145069,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,3.6,Completed
MNT-0055,ISZ-018,2026-04-30,136618,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,3.3,Completed
MNT-0056,ISZ-018,2026-08-12,154339,Cooling,Engine running hot / cooling abnormality,Thermostat or coolant circulation problem suspected,"Inspect thermostat, radiator, hoses, coolant concentration and water circulation",Thermostat / radiator / hoses,Engine Cooling 6B; thermostat in Engine Mechanical 6A-80,Corrective,2.6,Completed
MNT-0057,ISZ-018,2026-07-07,149000,Cooling,Coolant loss noted,Possible hose or cooling-system leak,"Inspect hoses, radiator and cooling-system connections",Radiator hose / cooling connections,Engine Cooling 6B-10 onward,Corrective,8.5,Completed
MNT-0058,ISZ-019,2026-08-24,157525,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,2.3,Completed
MNT-0059,ISZ-019,2026-06-29,148294,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,2.7,Completed
MNT-0060,ISZ-020,2026-08-16,161635,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,3.2,Completed
MNT-0061,ISZ-020,2026-06-30,152673,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.9,Completed
MNT-0062,ISZ-020,2026-05-03,142938,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,3.7,Completed
MNT-0063,ISZ-021,2026-08-16,165226,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.0,Completed
MNT-0064,ISZ-021,2026-06-30,155870,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,2.2,Completed
MNT-0065,ISZ-021,2026-08-11,165045,Lubrication,Low oil pressure,"Insufficient oil, oil contamination, filter restriction or oil-pump issue",Check oil level; inspect oil/filter; verify pressure with hydraulic gauge,Oil filter / oil pump / oil pressure switch,Engine Lubrication 6G-4,Corrective,3.7,Completed
MNT-0066,ISZ-021,2026-06-30,159779,Lubrication,Oil contamination,Fuel or water contamination suspected,Investigate contamination source and replace oil as required,Engine oil,Engine Lubrication 6G-4,Corrective,6.9,Completed
MNT-0067,ISZ-022,2026-08-14,168543,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,3.7,Completed
MNT-0068,ISZ-022,2026-06-20,159654,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.1,Completed
MNT-0069,ISZ-022,2026-05-03,150855,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,3.8,Completed
MNT-0070,ISZ-023,2026-08-17,171495,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,3.2,Completed
MNT-0071,ISZ-023,2026-06-30,162363,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,2.0,Completed
MNT-0072,ISZ-024,2026-08-13,175116,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,2.9,Completed
MNT-0073,ISZ-024,2026-06-28,165637,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,1.7,Completed
MNT-0074,ISZ-024,2026-05-07,157460,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,2.6,Completed
MNT-0075,ISZ-024,2026-08-09,174846,Fuel,Fuel rail pressure abnormal / poor acceleration,"Air in fuel, blocked filter/line, feed pump or injector issue","Check fuel filter, fuel line restriction, air/water contamination, feed pump and injectors",Fuel filter / feed pump / injector / common rail,Engine Mechanical 6A-15; Engine Control System 6E,Corrective,8.4,Completed
MNT-0076,ISZ-024,2026-07-02,169975,Fuel,No increase in engine speed,Fuel delivery restriction or engine-control-system fault,"Inspect fuel suction line, filter, feed pump and engine control system",Fuel system,Engine Mechanical 6A-15,Corrective,6.0,Completed
MNT-0077,ISZ-025,2026-08-21,179393,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,1.9,Completed
MNT-0078,ISZ-025,2026-06-26,170359,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,2.4,Completed
MNT-0079,ISZ-026,2026-08-21,185212,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,2.8,Completed
MNT-0080,ISZ-026,2026-06-21,176075,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,2.3,Completed
MNT-0081,ISZ-026,2026-04-30,167015,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,3.2,Completed
MNT-0082,ISZ-027,2026-08-23,187943,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,3.0,Completed
MNT-0083,ISZ-027,2026-06-25,179461,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.2,Completed
MNT-0084,ISZ-027,2026-08-08,188073,Electrical,Insufficient charging,"Poor connection, generator fault, loose drive belt or battery fault",Inspect wiring/connections; generator; drive belt; battery,Generator / V-belt / battery,Engine Electronic Components 6D-27; Engine Mechanical 6A-30,Corrective,4.7,Completed
MNT-0085,ISZ-027,2026-07-05,183112,Electrical,No-charge complaint,"Broken wire, short circuit, poor connection or generator internal fault",Repair wiring/connection or inspect generator,Generator / charging circuit,Engine Mechanical 6A-20; Engine Electronic Components 6D-26,Corrective,4.1,Completed
MNT-0086,ISZ-028,2026-08-13,190613,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,2.2,Completed
MNT-0087,ISZ-028,2026-06-28,182143,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,2.2,Completed
MNT-0088,ISZ-028,2026-04-25,173230,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,1.9,Completed
MNT-0089,ISZ-029,2026-08-16,195034,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,3.6,Completed
MNT-0090,ISZ-029,2026-06-27,185968,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,2.6,Completed
MNT-0091,ISZ-030,2026-08-20,197891,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,2.3,Completed
MNT-0092,ISZ-030,2026-06-26,189412,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,1.5,Completed
MNT-0093,ISZ-030,2026-04-30,180255,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,3.8,Completed
MNT-0094,ISZ-030,2026-08-15,198197,Cooling,Repeated cooling-system abnormality,Thermostat/circulation/radiator condition suspected,Inspect cooling system and thermostat,Cooling system,Engine Cooling 6B,Corrective,3.8,Completed
MNT-0095,ISZ-030,2026-07-08,192962,Lubrication,Low oil pressure,Oil level/filter/pump problem suspected,Verify oil pressure and inspect lubrication system,Oil filter / oil pump,Engine Lubrication 6G-4,Corrective,4.6,Completed
MNT-0096,ISZ-030,2026-05-30,187797,Electrical,Undercharge,Generator/belt/battery circuit issue,"Inspect charging circuit, generator, belt and battery",Generator / battery / V-belt,Engine Electronic Components 6D,Corrective,7.9,Completed
