vehicle_id,timestamp,engine_speed_rpm,vehicle_speed_kmh,engine_load_pct,accelerator_pedal_pct,coolant_temp_c,oil_pressure_kpa,fuel_rail_pressure_mpa,battery_voltage_v,maf_g_s,charging_status,dtc_flag,oil_pressure_below_manual_check,idle_out_of_target,fuel_rail_low_at_idle,cooling_high_demo_flag,operating_scenario
ISZ-001,2026-09-08 10:30:00,534.0,6.0,20.3,3.8,89.9,236.3,40.5,26.82,8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 10:40:00,1450.0,35.2,61.0,32.6,86.6,308.6,68.6,27.34,72.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 10:50:00,1838.0,68.5,72.5,8,90.2,378.3,71.5,26.45,100.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 11:00:00,1845.0,51.2,34.3,24.5,85.4,317.6,69.8,26.97,81.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 11:10:00,1861.0,74.5,92.2,38.4,87.1,339.4,52.6,27.52,124.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 11:20:00,1632.0,52.2,25.6,27.7,88.9,327.6,68.3,27.31,85.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 11:30:00,1395.0,33.5,78.5,51.9,88.8,328.2,91.2,27.86,123.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 11:40:00,800,75.0,93.3,8,83.6,379.4,58.9,27.23,118.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 11:50:00,1222.0,45.9,48.1,42.1,86.3,296.6,55.8,27.48,127.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 12:00:00,1586.0,51.9,44.9,43.6,82.5,310.6,73.6,27.65,156.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 12:10:00,1908.0,41.9,78.0,36.4,80.0,337.7,63.9,26.61,110.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 12:20:00,1251.0,65.4,53.2,68.9,87.6,335.3,65.9,27.3,123.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 12:30:00,1771.0,72.9,56.7,38.8,85.8,306.8,65.4,26.83,77.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 12:40:00,1740.0,45.6,63.5,18.9,91.7,280.3,59.0,26.99,66.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 12:50:00,1371.0,46.3,59.9,45.4,90.1,299.1,66.2,27.57,67.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 13:00:00,1676.0,88.1,34.1,35.8,84.4,386.9,55.1,27.42,73.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 13:10:00,1884.0,51.5,81.0,43.4,85.0,341.0,62.7,27.51,90.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 13:20:00,1183.0,37.8,62.7,50.8,92.0,328.1,73.5,27.49,76.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 13:30:00,1291.0,46.7,85.1,47.3,83.8,333.0,54.1,26.97,39.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 13:40:00,1499.0,36.5,47.2,33.7,86.8,331.0,48.0,27.38,99.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 13:50:00,1209.0,73.4,26.3,14.8,86.4,282.1,77.5,26.84,122.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 14:00:00,528.0,0,15.7,0.2,80.4,200.5,40.0,27.11,36.4,Normal,0,0,1,0,0,Normal operation
ISZ-001,2026-09-08 14:10:00,544.0,0,19.5,4.5,86.4,289.9,23.0,27.54,44.6,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 14:20:00,546.0,3.0,16.5,0.9,90.8,220.6,24.2,26.89,50.7,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 14:30:00,547.0,1.7,14.1,1.0,85.9,262.1,22.5,27.51,54.8,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 14:40:00,1030.0,28.9,45.5,62.8,90.9,361.9,65.2,27.22,60.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 14:50:00,1821.0,69.1,34.5,41.4,90.1,289.7,66.7,27.63,131.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 15:00:00,1363.0,65.7,60.2,56.2,93.7,342.3,70.0,26.92,88.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 15:10:00,1364.0,92.5,54.7,58.6,86.9,287.4,60.3,26.37,93.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 15:20:00,1222.0,41.9,30.3,44.1,84.3,326.5,53.5,27.88,86.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 15:30:00,1705.0,42.6,31.8,42.8,88.4,364.4,53.6,27.4,87.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 15:40:00,1861.0,44.3,78.9,64.2,85.4,327.2,57.6,27.22,80.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 15:50:00,1513.0,64.2,72.0,51.6,87.6,293.3,69.7,26.5,92.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 16:00:00,1433.0,77.9,39.4,52.8,82.1,312.9,60.6,26.8,101.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 16:10:00,1863.0,32.5,44.0,17.8,79.5,363.2,64.6,26.49,78.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 16:20:00,1505.0,46.7,69.1,60.0,84.4,356.0,65.2,27.08,77.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 16:30:00,2435.0,55.3,32.4,41.5,84.1,311.1,65.6,26.68,113.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 16:40:00,1628.0,45.8,35.2,54.8,83.1,361.7,73.8,27.08,84.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 16:50:00,1587.0,74.4,86.7,69.9,84.6,337.7,70.2,27.56,108.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 17:00:00,1725.0,34.1,59.2,49.8,93.2,335.1,68.7,26.77,128.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 17:10:00,1801.0,65.0,62.3,67.1,88.6,296.5,72.0,26.09,91.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 17:20:00,1111.0,72.8,45.8,51.7,85.9,337.9,77.9,27.13,118.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 17:30:00,1383.0,46.4,53.7,33.2,83.0,353.3,72.8,26.87,78.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 17:40:00,2019.0,59.0,80.5,63.4,92.3,363.1,65.8,26.93,66.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 17:50:00,1300.0,56.7,75.8,27.2,87.6,363.3,66.2,26.86,67.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 18:00:00,550.0,3.6,14.3,0.3,87.4,253.1,22.5,26.31,8,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 18:10:00,546.0,0,13.6,0,86.1,221.0,20.7,26.57,8,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 18:20:00,544.0,2.3,22.9,1.9,86.7,229.4,45.6,27.49,45.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 18:30:00,538.0,0,23.6,2.7,85.4,273.2,35.5,27.16,8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 18:40:00,2316.0,45.5,70.3,20.0,83.8,335.5,59.3,26.82,127.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 18:50:00,1570.0,36.3,58.7,67.6,91.8,324.4,62.7,27.14,71.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 19:00:00,2143.0,69.0,52.9,44.3,84.8,312.7,69.4,27.15,121.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 19:10:00,1276.0,78.4,65.8,43.7,88.0,352.8,82.1,27.48,89.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 19:20:00,1563.0,51.1,68.8,12.8,87.7,344.5,49.7,26.97,89.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 19:30:00,905.0,61.4,55.1,58.2,84.5,317.1,70.3,27.21,85.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 19:40:00,1558.0,63.3,49.0,63.7,88.0,326.5,70.7,27.03,104.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 19:50:00,2410.0,64.7,52.0,20.2,88.5,316.0,64.8,27.65,136.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 20:00:00,1274.0,62.5,62.4,43.1,94.8,347.3,68.7,27.08,81.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 20:10:00,1342.0,63.5,67.9,38.1,85.0,344.7,50.9,28.42,77.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 20:20:00,800,34.8,64.9,10.7,95.9,296.8,62.3,26.71,98.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 20:30:00,1443.0,45.4,42.9,50.4,85.7,357.3,58.4,27.82,138.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 20:40:00,2047.0,75.9,52.7,49.4,91.2,339.4,59.3,26.94,116.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 20:50:00,1502.0,44.9,45.6,63.0,84.2,332.9,67.4,26.84,111.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 21:00:00,1894.0,54.2,58.7,82.1,85.7,335.3,66.0,27.38,117.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 21:10:00,2044.0,60.8,66.5,57.7,86.2,333.6,59.7,26.74,103.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 21:20:00,1038.0,15.7,74.4,30.0,87.2,323.2,64.5,27.68,95.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 21:30:00,1147.0,59.7,62.9,8.9,92.6,387.1,69.6,27.31,86.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 21:40:00,1808.0,44.0,63.3,55.2,92.5,316.4,60.4,27.15,116.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 21:50:00,1551.0,30.2,59.9,47.8,83.5,355.5,60.7,26.56,100.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 22:00:00,550.0,0.1,14.5,0,88.0,255.1,23.2,26.79,22.6,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 22:10:00,546.0,0,14.9,1.2,84.3,248.0,28.2,26.19,49.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 22:20:00,558.0,2.1,14.0,0.8,85.1,260.1,27.5,26.96,68.5,Normal,0,0,1,0,0,Normal operation
ISZ-001,2026-09-08 22:30:00,537.0,0,24.5,1.1,88.5,236.3,31.0,26.71,58.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 22:40:00,1469.0,28.6,54.7,40.6,84.7,324.4,75.2,26.92,82.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 22:50:00,1783.0,47.6,89.4,69.3,83.6,345.5,51.4,27.68,88.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 23:00:00,1538.0,57.9,66.7,72.2,89.8,341.2,67.4,27.68,100.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 23:10:00,2375.0,52.8,55.8,79.7,91.2,305.6,55.0,27.24,70.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 23:20:00,1005.0,52.6,74.9,45.9,79.6,333.4,66.1,27.05,106.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 23:30:00,992.0,45.1,73.5,10.4,91.7,287.5,61.5,26.95,33.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 23:40:00,1962.0,53.5,62.9,66.4,83.7,365.2,72.0,26.88,89.9,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 23:50:00,1792.0,43.3,30.5,46.4,90.7,312.8,68.3,27.03,95.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 00:00:00,1389.0,73.1,87.8,53.9,89.3,328.4,67.8,27.41,73.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 00:10:00,1186.0,39.9,37.6,19.9,90.9,340.5,76.2,27.19,84.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 00:20:00,1352.0,64.4,63.3,10.1,86.5,348.0,68.0,27.24,117.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 00:30:00,2140.0,76.4,60.6,54.1,92.0,319.6,64.3,26.9,117.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 00:40:00,1213.0,64.7,67.6,24.2,89.9,304.2,61.9,26.8,98.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 00:50:00,1804.0,65.0,57.2,61.3,89.1,340.5,54.9,26.74,161.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 01:00:00,800,46.6,55.7,47.3,85.5,315.0,63.1,28.23,112.6,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 01:10:00,2329.0,49.7,73.1,55.8,89.2,277.8,56.8,26.38,110.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 01:20:00,1543.0,84.7,50.6,69.9,80.9,346.1,68.8,26.64,87.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 01:30:00,1986.0,28.5,49.8,22.4,86.9,386.9,76.6,27.16,87.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 01:40:00,1578.0,75.7,52.9,37.8,88.4,330.1,63.2,27.33,135.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-09 01:50:00,1081.0,65.3,86.9,56.9,86.3,295.0,60.6,26.53,54.3,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 06:00:00,547.0,0.3,22.1,0.2,82.6,249.3,26.9,27.42,11.3,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 06:10:00,546.0,2.1,12.7,2.9,81.8,264.2,34.1,27.24,8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 06:20:00,538.0,3.8,24.8,3.3,86.9,231.6,28.3,26.52,24.9,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 06:30:00,553.0,0,18.6,1.5,96.1,222.1,23.1,26.55,8,Normal,0,0,1,1,0,Normal operation
ISZ-002,2026-09-08 06:40:00,1374.0,77.5,90.3,69.0,87.6,308.6,75.7,26.79,98.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 06:50:00,2104.0,51.7,50.4,22.8,79.1,307.6,46.5,27.38,85.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 07:00:00,1405.0,42.2,72.4,58.7,85.9,318.9,59.8,27.93,99.5,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 07:10:00,1894.0,44.5,57.5,27.4,81.5,290.9,59.5,26.44,132.6,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 07:20:00,1660.0,55.5,71.7,76.1,84.9,318.2,67.7,26.27,90.1,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 07:30:00,1575.0,51.8,55.3,24.1,85.1,332.5,65.8,27.23,97.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 07:40:00,1509.0,65.9,77.1,17.9,81.7,362.4,69.6,27.48,94.1,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 07:50:00,1710.0,47.6,71.1,62.1,89.6,284.3,69.3,26.72,88.0,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 08:00:00,1736.0,51.5,56.0,55.7,79.8,337.8,75.2,27.05,68.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 08:10:00,1753.0,66.2,77.1,72.3,83.9,303.5,57.3,27.58,103.7,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 08:20:00,1852.0,50.8,69.6,43.1,84.9,341.0,66.9,27.6,69.6,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 08:30:00,1170.0,51.1,40.9,30.0,86.3,358.1,56.9,27.7,81.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 08:40:00,1301.0,50.7,57.8,63.9,85.4,284.8,60.9,26.27,66.4,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 08:50:00,1975.0,38.7,67.0,49.3,89.8,320.5,68.5,27.9,96.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 09:00:00,1317.0,75.4,43.7,60.0,86.8,300.8,70.4,26.82,97.4,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 09:10:00,1837.0,31.2,43.2,21.5,85.6,296.2,59.6,26.94,96.5,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 09:20:00,1981.0,58.6,68.5,26.2,82.2,343.8,75.6,26.67,95.3,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 09:30:00,2146.0,39.7,60.7,87.3,92.6,329.4,53.4,27.29,63.5,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 09:40:00,1065.0,61.0,52.8,44.7,87.3,293.3,58.1,27.25,71.7,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 09:50:00,1028.0,65.2,20,55.5,86.5,306.0,61.0,27.68,99.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 10:00:00,543.0,1.2,23.7,2.9,86.7,244.0,32.0,27.42,8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 10:10:00,549.0,0,9.2,4.2,85.9,245.3,24.1,27.23,12.6,Normal,0,0,0,1,0,Normal operation
ISZ-002,2026-09-08 10:20:00,544.0,6.3,7.8,2.5,86.2,243.9,29.2,27.54,8.3,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 10:30:00,556.0,0,17.4,3.1,86.0,272.1,26.9,26.94,8,Normal,0,0,1,0,0,Normal operation
ISZ-002,2026-09-08 10:40:00,1392.0,95,21.7,39.3,83.4,300.5,54.4,27.66,84.8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 10:50:00,1493.0,33.4,52.9,66.2,76.8,343.4,61.5,27.79,110.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 11:00:00,1473.0,47.7,62.8,70.0,89.7,292.7,77.5,27.25,121.1,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 11:10:00,1792.0,57.6,82.6,65.4,89.2,402.6,72.2,27.36,120.8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 11:20:00,1640.0,52.7,55.4,77.4,88.1,318.7,65.2,26.93,95.5,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 11:30:00,1875.0,39.9,53.6,40.4,85.6,322.9,55.6,27.16,97.9,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 11:40:00,1677.0,90.0,70.7,58.2,82.8,282.1,66.3,27.08,109.8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 11:50:00,2336.0,46.9,65.8,36.9,87.0,315.5,61.4,26.84,52.1,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 12:00:00,1790.0,54.8,62.3,59.7,83.9,328.5,70.1,26.55,132.0,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 12:10:00,1152.0,5,56.8,44.3,86.5,366.4,55.9,26.54,127.9,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 12:20:00,1561.0,43.4,71.1,13.5,83.7,345.8,75.4,27.82,73.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 12:30:00,2236.0,44.4,55.1,65.7,83.9,376.1,62.5,27.12,74.0,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 12:40:00,1685.0,52.5,48.5,44.7,85.0,312.5,53.5,27.82,118.3,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 12:50:00,2231.0,76.6,61.3,21.9,89.7,327.7,72.0,26.66,81.7,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 13:00:00,2013.0,32.0,48.6,84.9,87.9,319.5,68.8,27.39,70.8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 13:10:00,1630.0,52.7,35.8,8,89.7,328.4,56.0,26.46,39.4,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 13:20:00,1314.0,49.4,72.1,38.4,88.0,330.7,58.2,27.17,76.8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 13:30:00,1877.0,47.4,41.0,58.0,86.3,318.7,50.5,26.96,116.0,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 13:40:00,1475.0,54.4,51.7,44.0,87.0,317.3,62.1,28.07,89.7,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 13:50:00,1873.0,23.3,66.8,42.3,93.2,334.1,70.3,27.39,87.1,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 14:00:00,541.0,1.7,23.2,0,84.6,239.5,33.4,26.96,22.0,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 14:10:00,540.0,0,5.1,4.3,85.2,229.9,36.5,27.36,36.4,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 14:20:00,531.0,1.0,22.8,3.7,90.2,270.1,21.1,26.89,31.1,Normal,0,0,0,1,0,Normal operation
ISZ-002,2026-09-08 14:30:00,534.0,2.6,10.7,1.2,90.7,208.2,16.7,27.18,42.2,Normal,0,0,0,1,0,Normal operation
ISZ-002,2026-09-08 14:40:00,1260.0,60.0,55.6,85.3,87.3,335.3,57.5,27.13,126.6,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 14:50:00,962.0,55.0,41.2,28.9,87.1,343.2,59.8,27.21,103.9,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 15:00:00,1626.0,45.1,57.5,41.9,89.4,327.3,74.3,27.64,111.2,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 15:10:00,1074.0,61.0,65.0,8,88.4,298.7,67.4,26.44,120.8,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 15:20:00,1679.0,20.1,87.0,50.1,85.5,346.5,61.4,26.85,76.6,Normal,0,0,0,0,0,Normal operation
ISZ-002,2026-09-08 15:30:00,1324.0,53.4,47.6,56.2,86.1,357.5,58.1,26.82,98.5,Normal,0,0,0,0,0,Normal operation
